AMG KO	AMG KO name	Category
K01916	nadE; NAD+ synthase [EC:6.3.1.5]	Metabolism of cofactors and vitamins
K06879	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	Metabolism of cofactors and vitamins
K21681	bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]	Carbohydrate metabolism
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	Amino acid metabolism
K01619	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	Carbohydrate metabolism
K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	Metabolism of cofactors and vitamins
K10011	arnA, pmrI; UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]	Carbohydrate metabolism
K22316	rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]	Metabolism of cofactors and vitamins
K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	Nucleotide metabolism
K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbohydrate metabolism
K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	Nucleotide metabolism
K17230	fccA; cytochrome subunit of sulfide dehydrogenase	Energy metabolism
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III	Energy metabolism
K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	Glycan biosynthesis and metabolism
K01854	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Carbohydrate metabolism
K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	Carbohydrate metabolism
K16066	ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]	Nucleotide metabolism
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Carbohydrate metabolism
K14940	cofF; gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]	Energy metabolism
K19200	IAL; isopenicillin-N N-acyltransferase like protein	Biosynthesis of other secondary metabolites
K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	Amino acid metabolism
K09474	phoN; acid phosphatase (class A) [EC:3.1.3.2]	Metabolism of cofactors and vitamins
K12452	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	Carbohydrate metabolism
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	Carbohydrate metabolism
K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]	Glycan biosynthesis and metabolism
K00227	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]	Lipid metabolism
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	Carbohydrate metabolism
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Carbohydrate metabolism
K00450	E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]	Amino acid metabolism
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	Carbohydrate metabolism
K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	Carbohydrate metabolism
K19856	aveBVII, avrH; 3-O-methyltransferase [EC:2.1.1.-]	Metabolism of terpenoids and polyketides
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	Amino acid metabolism
K02841	waaC, rfaC; heptosyltransferase I [EC:2.4.-.-]	Glycan biosynthesis and metabolism
K12710	novU; C-methyltransferase [EC:2.1.1.-]	Metabolism of terpenoids and polyketides
K09458	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	Lipid metabolism
K17716	capD; UDP-glucose 4-epimerase [EC:5.1.3.2]	Carbohydrate metabolism
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	Amino acid metabolism
K02284	cpcA; phycocyanin alpha chain	Energy metabolism
K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	Metabolism of cofactors and vitamins
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	Carbohydrate metabolism
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	Metabolism of cofactors and vitamins
K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	Folding, sorting and degradation
